id_municipio,uf,homicidio_media,homicidio_cv,roubo_veiculo_media,furto_veiculo_media,total_crimes_violentos,proporcao_roubo_furto,tendencia_homicidios,volatilidade_crimes,nome_municipio,is_capital,cluster,indice_criminalidade,is_hotspot
3529658,SP,0.01,10.9302,0.0,0.01,0.01,0.0,0.0045,0.36,Mesópolis,0,6,0.0,False
3529401,SP,5.41,0.8163,104.18,91.74,161.32,0.4579,-0.0063,176.47,Mauá,0,3,0.0289,True
3529807,SP,0.05,4.3679,0.06,0.39,0.2,0.0185,-0.0003,4.79,Mineiros do Tietê,0,5,0.0003,False
3529708,SP,0.25,1.9777,0.42,1.27,1.36,0.0306,-0.0025,20.67,Miguelópolis,0,3,0.0015,False
3529500,SP,0.02,7.249,0.04,0.21,0.08,0.0106,-0.0021,2.93,Mendonça,0,5,0.0002,False
3528700,SP,0.02,6.2578,0.0,0.01,0.03,0.0016,0.0031,1.52,Marabá Paulista,0,5,0.0001,False
3529005,SP,1.32,0.9399,1.0,14.05,7.32,0.0219,-0.0018,156.29,Marília,0,3,0.0093,True
3528809,SP,0.08,3.7245,0.08,0.51,0.22,0.0177,-0.0058,4.71,Maracaí,0,3,0.0004,False
3529302,SP,0.34,1.8745,0.74,7.8,2.5,0.0327,-0.0037,37.54,Matão,0,3,0.0023,False
3528304,SP,0.01,10.9302,0.0,0.05,0.01,0.0,0.0055,0.85,Magda,0,6,0.0001,False
3528908,SP,0.02,6.8697,0.0,0.02,0.02,0.0029,-0.0073,0.83,Mariápolis,0,5,0.0001,False
3528403,SP,0.75,1.2145,2.25,4.37,4.14,0.0885,-0.0062,21.0,Mairinque,0,3,0.0031,False
3528601,SP,0.04,5.6323,0.05,0.22,0.15,0.0369,0.0054,1.73,Manduri,0,5,0.0002,False
3528502,SP,1.48,0.8767,9.3,10.45,15.83,0.1963,-0.0038,39.03,Mairiporã,0,3,0.0064,False
3528007,SP,0.06,4.3208,0.19,0.74,0.51,0.0404,0.0027,6.37,Macatuba,0,5,0.0004,False
3527801,SP,0.02,6.8697,0.0,0.03,0.03,0.0064,0.0013,1.13,Lupércio,0,5,0.0001,False
3528106,SP,0.03,6.054,0.0,0.24,0.06,0.0049,-0.0078,3.44,Macaubal,0,5,0.0002,False
3527900,SP,0.0,15.4882,0.0,0.02,0.02,0.0098,-0.0176,0.98,Lutécia,0,4,0.0,False
3527603,SP,0.05,4.1874,0.27,0.35,0.42,0.0537,-0.0033,3.89,Luís Antônio,0,5,0.0003,False
3527702,SP,0.04,4.8057,0.01,0.07,0.08,0.0182,-0.0009,1.05,Luiziânia,0,5,0.0002,False
3527306,SP,0.15,2.6574,2.8,4.44,4.37,0.1281,-0.0027,18.01,Louveira,0,3,0.0012,False
3527207,SP,1.7,0.8088,1.45,4.95,8.43,0.086,0.0005,43.3,Lorena,0,3,0.0069,False
3527405,SP,0.07,3.9926,0.02,0.28,0.14,0.0064,0.0009,6.73,Lucélia,0,5,0.0004,False
